,website with adword,search term
0,www.booking.com/Москва/Отели,hotel in moscow
1,www.hotels.com/Москве/Лучшие-Отели,hotel in moscow
2,www.trivago.ru/,hotel in moscow
3,www.kayak.com/Hotels/Moscow,hotel in moscow
