,full link,search term
1,https://abudhabi.dubizzle.com/en/property-for-rent/rooms-for-rent-flatmates/,private room in abu dhabi
2,https://www.tripadvisor.com/Restaurants-g294013-zfp63-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,private room in abu dhabi
3,https://www.tripadvisor.co.za/LocationPhotoDirectLink-g294013-d8428079-i197611118-Madang_Korean_Restaurant-Abu_Dhabi_Emirate_of_Abu_Dhabi.html,private room in abu dhabi
4,https://www.anantara.com/en/al-yamm-sir-bani-yas/rooms/accommodation/one-bedroom-pool-villa,private room in abu dhabi
5,https://www.agoda.com/backpacker-accommodation/hotel/abu-dhabi-ae.html,private room in abu dhabi
6,https://www.fourseasons.com/abudhabi/dining/,private room in abu dhabi
7,https://www.accorhotels.com/gb/hotel-6949-ibis-abu-dhabi-gate/index.shtml,private room in abu dhabi
